DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200304128,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,3,Southwest,312,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2900 S  SYCAMORE                     AV,,34.0279,-118.3561
200304130,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2345,3,Southwest,328,1,220,ATTEMPTED ROBBERY,0344 1822 0345 0346 1402 0390 0416 0445 0429,37,F,B,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,220,,,,HOOVER                       ST,32ND                         ST,34.0237,-118.284
200304136,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1415,3,Southwest,362,2,624,BATTERY - SIMPLE ASSAULT,0416 0562 0446,53,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3800    COCO                         AV,,34.0168,-118.3491
200304155,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,730,3,Southwest,362,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SANTO TOMAS                  DR,GELBER                       PL,34.0119,-118.3504
201413815,07/15/2020 12:00:00 AM,07/14/2020 12:00:00 AM,2145,14,Pacific,1432,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,33,M,W,101,STREET,,,IC,Invest Cont,331,,,,600    MILWOOD                      AV,,33.9908,-118.4647
210808302,04/17/2021 12:00:00 AM,07/26/2020 12:00:00 AM,1500,8,West LA,808,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 1819 2000,51,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,2500    SUMMITRIDGE                  DR,,34.1196,-118.4221
200304164,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,130,3,Southwest,336,1,210,ROBBERY,1414 0429 0421 0345 0344 0342 0411 1822 0327 0370,45,M,H,108,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,WESTERN                      AV,JEFFERSON                    BL,34.0256,-118.3089
200304165,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1755,3,Southwest,334,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0447 1414 1202 0416 1309 1822 0429,62,M,A,101,STREET,307.0,VEHICLE,IC,Invest Cont,230,,,,CRENSHAW                     BL,JEFFERSON                    BL,34.0256,-118.3351
200706186,02/16/2020 12:00:00 AM,02/14/2020 12:00:00 AM,1615,7,Wilshire,782,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394 1822,32,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,1900 S  LA CIENEGA                   BL,,34.0426,-118.3764
200304171,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1,3,Southwest,399,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 2002 1813 1814 1243 0421,26,F,W,101,STREET,511.0,VERBAL THREAT,AA,Adult Arrest,930,,,,4100 S  FIGUEROA                     ST,,34.0094,-118.2827
200304175,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2130,3,Southwest,396,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444,47,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4300 S  VERMONT                      AV,,34.0055,-118.2915
200304176,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2150,3,Southwest,396,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0354 2000 1814 0344 1309,56,M,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,440,,,,4300 S  VERMONT                      AV,,34.0055,-118.2915
200304177,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,630,3,Southwest,331,1,210,ROBBERY,1313 1822 1309 1317 0334 0302 0355 0344 0432,36,F,B,101,STREET,102.0,HAND GUN,IC,Invest Cont,210,,,,2900    VINEYARD                     AV,,34.0283,-118.3492
200304178,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1740,3,Southwest,338,1,210,ROBBERY,0342 1309 0216 0325 0104 0945 0431,19,X,X,408,AUTO SUPPLY STORE*,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,210,,,,2900 S  VERMONT                      AV,,34.0268,-118.2896
200304179,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,147,3,Southwest,374,1,210,ROBBERY,1822 0342 0344 0354 0352 0417 2033,20,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,3800    WELLAND                      AV,,34.0173,-118.3261
200304183,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1230,3,Southwest,325,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,66,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1400 W  29TH                         ST,,34.0307,-118.2923
200304184,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1430,3,Southwest,314,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 1309 0416,20,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4TH                          AV,25TH                         ST,34.0344,-118.3212
200304185,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1830,3,Southwest,311,2,624,BATTERY - SIMPLE ASSAULT,1309 0444 0416 0446 0429 1801,33,M,A,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,5700    SMILEY                       DR,,34.0305,-118.3677
200304187,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,30,3,Southwest,393,2,624,BATTERY - SIMPLE ASSAULT,1817 0448 0429 0416 0202 1202,66,M,B,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4000    LEIMERT                      BL,,34.008,-118.3266
200304188,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,52,3,Southwest,319,2,624,BATTERY - SIMPLE ASSAULT,1822 1237 0416 0446 0429,27,M,W,401,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,2500 S  FIGUEROA                     ST,,34.0288,-118.2756
200815198,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1330,8,West LA,827,2,624,BATTERY - SIMPLE ASSAULT,1822 0421,29,F,W,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,11700    SAN VICENTE                  BL,,34.0536,-118.4662
200108262,03/02/2020 12:00:00 AM,03/02/2020 12:00:00 AM,1320,1,Central,191,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 W  VENICE                       BL,,34.0378,-118.2709
200304190,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1,3,Southwest,377,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0443 0202,26,M,H,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,930,,,,1200 W  39TH                         ST,,34.0155,-118.2975
200304193,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1450,3,Southwest,397,2,888,TRESPASSING,0603 0361 1501 2003,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,1000 W  42ND                         PL,,34.0064,-118.2915
200304201,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,955,3,Southwest,325,1,210,ROBBERY,1402 0325 0104 0945 2004 0216,19,X,X,402,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,2600 S  VERMONT                      AV,,34.0328,-118.2915
201709652,06/02/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1730,17,Devonshire,1767,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,32,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,18400    HALSTED                      ST,,34.2446,-118.5343
200304203,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,600,3,Southwest,313,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 0448 0421 2021 1206 1814 1419 1407 0319 0353,47,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AA,Adult Arrest,930,,,,4100 W  ADAMS                        BL,,34.0326,-118.3296
200304204,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1755,3,Southwest,363,1,210,ROBBERY,1414 1259 0906 0344 1251 0342 0202 0416 2024 0346,14,M,O,404,DEPARTMENT STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,4000    CRENSHAW                     BL,,34.0124,-118.3351
200304205,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1,3,Southwest,397,2,624,BATTERY - SIMPLE ASSAULT,1202 2021 0416 0411 1810,64,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1000 W  VERNON                       AV,,34.0073,-118.298
201214995,06/19/2020 12:00:00 AM,06/19/2020 12:00:00 AM,1822,12,77th Street,1267,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1606 1309,41,M,H,503,HOTEL,,,IC,Invest Cont,331,,,,8400 S  FIGUEROA                     ST,,33.9623,-118.2827
200304208,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1200,3,Southwest,335,2,624,BATTERY - SIMPLE ASSAULT,0444 0429 0561 1278,38,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2800    6TH                          AV,,34.0297,-118.3236
200304209,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1310,3,Southwest,397,1,210,ROBBERY,0344 1309 0342 0305 0346 1822 0444 0370 1266,35,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,4300 S  VERMONT                      AV,,34.0073,-118.298
200304210,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1000,3,Southwest,308,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1815 0416 0447 1813 1243 1251,23,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,,,2100    OAK                          ST,,34.0347,-118.2792
200304211,01/04/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1,3,Southwest,325,1,310,BURGLARY,0344 1202 1601,66,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1400 W  29TH                         ST,,34.0307,-118.2923
200304212,01/04/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1100,3,Southwest,343,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0349,26,F,B,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,3600 S  LA BREA                      AV,,34.0199,-118.3608
200304213,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2100,3,Southwest,319,1,330,BURGLARY FROM VEHICLE,0344 1300 1605 1278,38,M,O,101,STREET,,,IC,Invest Cont,330,,,,ESTRELLA,21ST                         ST,34.0332,-118.2759
200304214,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1500,3,Southwest,331,1,320,"BURGLARY, ATTEMPTED",0329 1822 0342 1601,28,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,320,,,,2700    PALM GROVE                   AV,,34.0313,-118.3456
200304216,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1120,3,Southwest,363,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 0342 0202,39,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,745,,,,4000    BUCKINGHAM                   RD,,34.0148,-118.3417
200304217,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1100,3,Southwest,376,2,624,BATTERY - SIMPLE ASSAULT,1202 0401 2003 0562,69,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3900    DENKER                       AV,,34.0149,-118.3045
201504683,01/15/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1900,15,N Hollywood,1581,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1606,45,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,331,,,,4300    WHITSETT                     AV,,34.1486,-118.4052
200304230,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2320,3,Southwest,373,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 1202 2021 1821 1241 0408 2002 0913,63,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,3900    HUBERT                       AV,,34.0142,-118.3281
200304231,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2330,3,Southwest,373,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 2021 0913,27,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3900    HUBERT                       AV,,34.0142,-118.3281
200304232,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1740,3,Southwest,397,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1251 1258 0553 1501,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237,,,,1400 W  42ND                         PL,,34.0061,-118.3002
200304237,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1630,3,Southwest,378,2,624,BATTERY - SIMPLE ASSAULT,1822 0400,23,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700    EXPOSITION                   BL,,34.0181,-118.2846
200304238,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1630,3,Southwest,378,2,624,BATTERY - SIMPLE ASSAULT,1822 0400,24,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700    EXPOSITION                   BL,,34.0181,-118.2846
200304240,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1500,3,Southwest,338,1,352,PICKPOCKET,0344 0377 1251,22,F,W,402,MARKET,,,IC,Invest Cont,352,,,,3100 S  HOOVER                       ST,,34.0268,-118.2896
200304244,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1030,3,Southwest,305,2,624,BATTERY - SIMPLE ASSAULT,1820 0416 0446,49,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,ADAMS,WEST                         BL,34.0326,-118.3416
200304508,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1200,3,Southwest,325,1,330,BURGLARY FROM VEHICLE,0344,33,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,2600 S  VERMONT                      AV,,34.0328,-118.2915
200304330,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,900,3,Southwest,325,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,X,X,707,GARAGE/CARPORT,,,IC,Invest Cont,440,,,,2700    ELLENDALE                    PL,,34.0307,-118.2923
200816887,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1430,8,West LA,898,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,52,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930,,,,3000 S  ROBERTSON                    BL,,34.0328,-118.39
200304249,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,530,3,Southwest,363,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,23,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,4100    BUCKINGHAM                   RD,,34.0121,-118.3423
200304254,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,630,3,Southwest,328,1,210,ROBBERY,0416 0344 1202 0305 0429 0342,63,M,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,FIGUEROA,ADAMS,34.0282,-118.276
200304256,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,10,3,Southwest,397,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0400 1821,36,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4000 S  NORMANDIE                    AV,,34.0109,-118.3002
200304257,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1030,7,Wilshire,752,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0216 0202 0325 2028,19,X,X,401,MINI-MART,,,IC,Invest Cont,442,,,,1000 S  FAIRFAX                      AV,,34.0558,-118.3706
200304258,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1815,3,Southwest,378,2,624,BATTERY - SIMPLE ASSAULT,0342 0429 0416 0417 1309 0448 0419 0913,46,F,H,123,PARKING UNDERGROUND/BUILDING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3800 S  FIGUEROA                     ST,,34.0146,-118.2872
200304262,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1200,3,Southwest,333,2,664,"BUNCO, PETTY THEFT",0342 1309 1822 1006 0701 0800 1218,45,M,H,102,SIDEWALK,,,IC,Invest Cont,664,,,,WELLINGTON                   ST,29TH                         ST,34.0295,-118.3384
200304263,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1300,3,Southwest,375,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 2032,69,F,H,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,440,,,,3900 S  WESTERN                      AV,,34.0146,-118.313
200304265,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1015,3,Southwest,328,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032 0377,41,F,O,232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",,,IC,Invest Cont,440,,,,2700 S  FIGUEROA                     ST,,34.0268,-118.2808
200304266,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1920,3,Southwest,361,2,901,VIOLATION OF RESTRAINING ORDER,2000 1813 0329 2038,43,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,4000    STEVELY                      AV,,34.015,-118.3536
200304269,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2040,3,Southwest,354,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 2000 1814 0321 2002,31,M,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,745,,,,3700    3RD                          AV,,34.0203,-118.3201
200304270,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1640,3,Southwest,361,1,350,"THEFT, PERSON",0329 0344,52,F,H,102,SIDEWALK,,,IC,Invest Cont,350,,,,NICOLET                      AV,PINAFORE                     ST,34.0146,-118.3512
200304272,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2040,3,Southwest,354,2,624,BATTERY - SIMPLE ASSAULT,0444 0913 2002,57,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,3700    3RD                          AV,,34.0203,-118.3201
200304273,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,620,3,Southwest,316,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0416 0446 0913 0329,18,F,B,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,2200    LA SALLE                     AV,,34.0364,-118.3058
200304274,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2030,3,Southwest,377,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311 1202,60,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1200    BROWNING                     BL,,34.0121,-118.2968
200304275,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1245,3,Southwest,376,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1601 2004 0562 2024,62,F,H,406,OTHER STORE,,,IC,Invest Cont,440,,,,3900    DALTON                       AV,,34.0155,-118.3034
200304276,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2240,3,Southwest,326,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0446 0419 1814 2004 2007 1222,44,M,W,122,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,HARVARD                      BL,29TH                         ST,34.0291,-118.3066
200304277,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1600,3,Southwest,353,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0431 1309 1306 2021 1310,36,F,H,108,PARKING LOT,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230,,,,3600    CRENSHAW                     BL,,34.0191,-118.3351
200304282,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1930,3,Southwest,363,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 0400,40,M,H,109,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341,,,,3900 W  MARTIN LUTHER KING JR        BL,,34.0146,-118.3414
201016098,12/14/2020 12:00:00 AM,12/14/2020 12:00:00 AM,1257,10,West Valley,1029,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1402,31,F,V,101,STREET,,,IC,Invest Cont,331,,,,GLORIA                       AV,HART                         ST,34.1976,-118.4793
200304285,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,215,3,Southwest,341,1,310,BURGLARY,0314 1608 1202 1601 2034 1822 2004,86,F,B,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,5700    BOWCROFT                     ST,,34.0203,-118.3692
200304293,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2020,3,Southwest,397,1,330,BURGLARY FROM VEHICLE,1601 0344 1300,43,F,H,101,STREET,,,IC,Invest Cont,330,,,,4200 S  NORMANDIE                    AV,,34.0073,-118.3002
200304294,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2200,3,Southwest,395,2,354,THEFT OF IDENTITY,1202 0100 1822 0930,65,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1800 W  41ST                         DR,,34.009,-118.3113
200304296,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1010,3,Southwest,395,1,210,ROBBERY,2000 0342 0344 0330 0408 0444 1814 1243 1300 0329,47,F,H,503,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,4100 S  WESTERN                      AV,,34.0099,-118.3089
201515728,09/25/2020 12:00:00 AM,09/23/2020 12:00:00 AM,2200,15,N Hollywood,1531,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1300,28,M,W,101,STREET,,,IC,Invest Cont,331,,,,12500    OXNARD                       ST,,34.1794,-118.4062
200304299,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1530,3,Southwest,394,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 0561 0444 2034,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2600 W  43RD                         PL,,34.0045,-118.3214
200304512,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2155,3,Southwest,321,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,X,X,406,OTHER STORE,,,IC,Invest Cont,442,,,,3500 S  LA CIENEGA                   BL,,34.0242,-118.3722
200304300,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1815,3,Southwest,378,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,45,M,H,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3800 S  FIGUEROA                     ST,,34.0146,-118.2872
200304301,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1200,3,Southwest,321,2,624,BATTERY - SIMPLE ASSAULT,0446 0416 0556,26,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,3500    ENVILLE                      PL,,34.0232,-118.3701
200304302,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1200,3,Southwest,321,2,624,BATTERY - SIMPLE ASSAULT,0416 0360,44,M,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,3500    ENVILLE                      PL,,34.0232,-118.3701
200304304,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1940,3,Southwest,393,1,210,ROBBERY,0916 0334 0342 0302 0330 0344 0327 0449 1278 1281,63,M,B,101,STREET,102.0,HAND GUN,IC,Invest Cont,210,,,,MC CLUNG                     DR,STOCKER                      ST,34.0085,-118.3334
